name:ID,:LABEL
VIÊM GAN B,DISEASESYMTOM
XUNG HUYẾT HANG VỊ,DISEASESYMTOM
CAO HUYẾT ÁP,DISEASESYMTOM
MÃN TÍNH,DISEASESYMTOM
AMIDAN,DISEASESYMTOM
SỞI,DISEASESYMTOM
BỊ BỆNH MÀY ĐAY,DISEASESYMTOM
TRIỆU CHỨNG,DISEASESYMTOM
NỔI MỤN NƯỚC LI TI,DISEASESYMTOM
DI CHỨNG,DISEASESYMTOM
VIÊM HỌNG,DISEASESYMTOM
ĐAU,DISEASESYMTOM
HEMOPHILIA A,DISEASESYMTOM
SUY GAN,DISEASESYMTOM
VIÊM GAN C,DISEASESYMTOM
PARKINSON,DISEASESYMTOM
HUYẾT ÁP,DISEASESYMTOM
KÍCH ỨNG,DISEASESYMTOM
MỀ ĐAY,DISEASESYMTOM
TIỂU ĐƯỜNG,DISEASESYMTOM
DỊ ỨNG,DISEASESYMTOM
THIẾU MÁU,DISEASESYMTOM
BỆNH VIÊM HỌNG,DISEASESYMTOM
MẨN NGỨA,DISEASESYMTOM
NHIỄM,DISEASESYMTOM
SIÊU VI B,DISEASESYMTOM
VIÊM MŨI,DISEASESYMTOM
NGỨA NGÁY,DISEASESYMTOM
BỆNH LÝ NỀN,DISEASESYMTOM
BỆNH GÚT,DISEASESYMTOM
VÀNG DA,DISEASESYMTOM
BỊ BỆNH,DISEASESYMTOM
CƯỜNG GIÁP,DISEASESYMTOM
TRÀ,DISEASESYMTOM
SỎI THẬN,DISEASESYMTOM
VIÊM ĐA KHỚP,DISEASESYMTOM
XƠ GAN,DISEASESYMTOM
SUYỄN,DISEASESYMTOM
THIẾU MÁU NÃO,DISEASESYMTOM
HEN,DISEASESYMTOM
LAO MÀNG PHỔI,DISEASESYMTOM
VIÊM,DISEASESYMTOM
VIÊM ĐA KHỚP DẠNG THẤP,DISEASESYMTOM
LUPUS,DISEASESYMTOM
TẮC NGHẼN PHỔI,DISEASESYMTOM
PHÁT BAN,DISEASESYMTOM
LAO PHỔI,DISEASESYMTOM
ĐỘNG KINH,DISEASESYMTOM
